2025-06-19 16:05:48.362359	Avg_MHz	Busy%	Bzy_MHz	C3	C3%	CorWatt	PkgWatt
2025-06-19 16:05:48.362432	1081	20.24	5341	2164	75.96	18.34	45.10
2025-06-19 16:05:49.373419	1524	28.49	5349	1831	66.71	32.01	61.90
2025-06-19 16:05:50.373996	2148	39.52	5434	1098	55.45	46.33	79.68
2025-06-19 16:05:51.374518	2163	40.16	5387	1719	55.57	47.05	80.80
2025-06-19 16:05:52.378407	1941	36.01	5390	1277	59.18	41.62	74.12
2025-06-19 16:05:53.386707	1904	35.55	5356	1967	60.05	40.45	72.96
2025-06-19 16:05:54.394463	1417	26.19	5411	1196	70.92	30.27	59.75
2025-06-19 16:05:55.402393	1461	27.23	5366	1176	68.73	31.10	60.73
2025-06-19 16:05:56.414371	1369	25.34	5403	1024	72.08	28.76	57.46
2025-06-19 16:05:57.418244	1709	31.62	5404	1208	63.79	35.56	65.85
2025-06-19 16:05:58.418858	1269	23.44	5412	1105	74.26	27.44	55.61
2025-06-19 16:05:59.422608	1047	19.29	5424	907	79.86	22.68	49.59
2025-06-19 16:06:00.426367	1273	23.60	5392	939	73.99	26.85	55.22
2025-06-19 16:06:01.435678	1448	26.89	5382	1029	70.17	30.75	60.26
2025-06-19 16:06:02.436290	1343	24.84	5406	1248	73.02	27.56	56.53
2025-06-19 16:06:03.438780	1509	27.94	5402	1196	68.84	32.27	61.97
2025-06-19 16:06:04.442623	1448	26.89	5384	1566	70.31	31.08	60.54
2025-06-19 16:06:05.446730	1321	24.56	5380	1414	72.61	28.12	57.01
2025-06-19 16:06:06.460856	1565	29.24	5352	1310	66.49	33.27	63.58
2025-06-19 16:06:07.462440	1533	28.35	5408	1321	68.40	32.82	62.50
2025-06-19 16:06:08.463018	1161	21.47	5411	1022	77.78	25.37	52.95
2025-06-19 16:06:09.463583	1593	29.50	5399	1056	67.02	34.79	64.91
2025-06-19 16:06:10.466341	1448	26.92	5381	1030	70.06	31.95	61.72
2025-06-19 16:06:11.467033	1463	27.12	5396	1061	70.02	32.16	61.78
2025-06-19 16:06:12.480106	1639	30.65	5348	1214	65.04	34.37	64.91
2025-06-19 16:06:13.482586	1822	33.52	5434	1002	62.34	39.42	70.91
2025-06-19 16:06:14.486526	1883	35.00	5379	1499	60.94	41.24	73.51
2025-06-19 16:06:15.492421	1246	23.13	5386	925	74.24	25.72	54.86
2025-06-19 16:06:16.494554	1744	32.35	5391	1174	63.22	37.28	68.48
2025-06-19 16:06:17.510349	1649	30.74	5364	1049	64.77	34.51	65.28
2025-06-19 16:06:18.514819	1630	30.07	5421	1176	66.27	35.95	66.55
2025-06-19 16:06:19.522341	1667	30.92	5391	6630	60.98	35.22	66.87
2025-06-19 16:06:20.526435	1154	21.30	5419	1247	76.44	25.43	53.43
2025-06-19 16:06:21.534340	1176	21.85	5385	954	76.45	25.47	53.79
2025-06-19 16:06:22.535719	1538	28.41	5413	1393	68.76	32.81	62.40
2025-06-19 16:06:23.538549	1958	36.37	5383	1538	57.65	42.76	75.73
2025-06-19 16:06:24.539177	1904	35.29	5395	1191	59.75	41.75	74.35
2025-06-19 16:06:25.542503	1877	34.83	5388	1353	58.88	40.68	73.25
2025-06-19 16:06:26.554443	1642	30.47	5389	1171	65.70	35.05	65.80
2025-06-19 16:06:27.555164	1711	31.70	5399	1115	64.01	37.98	69.14
2025-06-19 16:06:28.562385	1725	32.11	5371	1490	62.58	37.53	69.32
2025-06-19 16:06:29.565389	1665	30.88	5391	1269	65.34	36.89	67.58
2025-06-19 16:06:30.566008	1708	31.57	5411	1470	62.81	37.70	69.25
2025-06-19 16:06:31.578425	1540	28.64	5375	1022	68.06	33.89	64.60
2025-06-19 16:06:32.590358	1839	34.16	5383	1270	61.53	40.89	72.92
2025-06-19 16:06:33.590870	1665	30.69	5425	1159	66.11	36.40	67.03
2025-06-19 16:06:34.602396	1682	31.33	5370	1059	64.73	36.84	68.34
2025-06-19 16:06:35.606770	1835	33.91	5413	1538	62.64	40.97	72.75
